"states";"0-19 Years";"20-59Years";"60+ Years"
"ANDHRA PRADESH";48076679;34283522;5565656
"ASSAM";19925855;12076676;1589340
"BIHAR";67231281;33956207;5679099
"CHATTISGARH";15254090;9286947;1532465
"DELHI";9331365;6893393;2003679
"GUJARATH";34079775;24400439;3546300
"HARYANA";15266220;9519996;1664588
"HIMACHAL PRADESH";3934839;2904984;562280
"JAMMU AND KASHMIR";7431574;4644508;721039
"JARKHAND";21072776;11700132;1611970
"KARNATAKA";5863496;47887112;818205
"KERALA";17864466;16146160;3362129
"MADHYA PRADESH";45667128;26124128;4440447
"MAHARASHTRA";64109008;45764407;8572743
"ORISSA";24358586;16657699;3013688
"PUNJAB";15999119;11564422;2285595
"RAJASTHAN";43825462;23892990;4097856
"TAMIL NADU";36274978;31806770;5936342
"TELANGANA";0;0;0
"UTTAR PRADESH";132302634;68710568;12386379
"UTTARAKHAND";6197916;3784197;3784197
"WESTBENGAL";38092114;4649452;4649452
