states;0-19 Years;20-59Years;60+ Years
ANDHRA PRADESH;54535669;23148452;12845225
ASSAM;67981737;23543015;15268912
BIHAR;96000323;22949064;13816563
CHATTISGARH;20880475;6505399;3786209
DELHI;12855080;4762353;2343806
GUJARATH;46400917;16291242;9538689
HARYANA;20176789;6403218;3909921
HIMACHAL PRADESH;4878872;32602284;3031809
JAMMU AND KASHMIR;10555207;30697273;1731253
JARKHAND;28846647;7766660;4528093
KARNATAKA;13476314;16740325;10632806
KERALA;21125304;9815446;7875183
MADHYA PRADESH;61114116;17814066;10465765
MAHARASHTRA;82637664;30359898;19942412
ORISSA;31809384;11179683;7315980
PUNJAB;20103130;7481850;5076836
RAJASTHAN;59304434;15938006;9526395
TAMIL NADU;48076584;21429281;14314360
TELANGANA;0;0;0
UTTAR PRADESH;64000712;44192083;27491073
UTTARAKHAND;8243370;2419886;1616428
WESTBENGAL;67981737;23543015;15268912
